Canonical Term,Canonical Definition,Object Type,Architecture Layer,Parent,Children,Allowed Aliases,Legacy Terms (Deprecated),Terms That Must Remain Distinct,Source Authority,Visual Semantic,Status,Notes
Salt Basin Holdings LLC,Root legal entity owning all IP / trademarks / copyrights / patents / architecture / source code. Licenses IP to MES Subsidiaries.,Legal Entity,Enterprise,—,MES Subsidiaries LLC,—,—,Must not be confused with Salt Basin Net Works (Tier 3) or Salt Basin Highways (methodology),SRC-001 — Explicit User Decision,—,Canonical,The holding company that fronts all legal and trust lines
MES Subsidiaries LLC (MESS),Tier 2 sub-holding company. Portfolio ownership only — not an operating business. Owns equity in the two Tier 3 branches. Multi-pronged acronym trademark.,Legal Entity,Enterprise,Salt Basin Holdings LLC,"Salt Basin Net Works LLC, Salt Basin Creative Works LLC",MESS,"—",Must not be confused with MESS Platforms (Tier 4 product suite) — open flag on dual use,SRC-001 — Explicit User Decision,—,Canonical — dual-use flag open,Four acronym meanings: Martha Elizabeth Salter Subsidiaries; Monetized Economic Spending Solutions; Managed Equity Security Services; Measured Enterprise Scaling Solutions
Salt Basin Net Works LLC,Tier 3 technology and services branch.,Legal Entity,Enterprise,MES Subsidiaries LLC,"MES Solutions LLC, MES Agencies LLC",—,—,Must not be confused with Salt Basin Holdings (Tier 1),SRC-001 — Explicit User Decision,—,Canonical,Name is intentional double meaning: Net Works (networks / net works = bottom line performs)
Salt Basin Creative Works LLC,Tier 3 faith and creative branch.,Legal Entity,Enterprise,MES Subsidiaries LLC,"POP 3D Prints of Peace Decor, Writings, Music",—,—,—,SRC-001 — Explicit User Decision,—,Canonical,—
MES Solutions LLC,Tier 4 product platform entity under Salt Basin Net Works. Acronym: Measured Enterprise Success Solutions. Houses all technology products.,Legal Entity,Enterprise,Salt Basin Net Works LLC,"SaltTide, HOS, RLMM, SaltBridge, SaltChannels, Salt Covenant Solutions, MESS Platforms",—,—,Must not be confused with MES Agencies (MESA),SRC-001 — Explicit User Decision,—,Canonical,OI-003: acronym uses 'Success' but one MESS meaning uses 'Scaling' — pending confirmation
MES Agencies LLC (MESA),Tier 4 advisory / delivery / diagnostics operating entity under Salt Basin Net Works. Only Tier 4 entity confirmed as needing to be filed NOW.,Legal Entity,Enterprise,Salt Basin Net Works LLC,—,MESA,The Salter Influence (deprecated brand name),Must not be confused with MESS (Tier 2),SRC-001 — Explicit User Decision,—,Canonical — only entity confirmed as needing immediate filing,Formerly branded 'The Salter Influence'
Salt Basin Highways™,Enterprise navigation platform and methodology trademark. A trademark/technology layer — NOT a legal entity. Underlies MES Solutions products.,Methodology / IP Layer,Platform,—,"Highway Vision™, Monetary River System™, Route Intelligence Engine™, Eligibility Engine, Override Engine, Recommendation Engine, Explainability Engine, Knowledge Graph, Learning & Cache",—,—,Must not be confused with any legal entity in the structure,SRC-001 — Explicit User Decision,River / Highway metaphor,Canonical,Tag line: Turn Spaghetti Junction into Highway Vision / We leverage existing rails We reveal better routes
Highway Vision™,The end-state navigation architecture within Salt Basin Highways. The 'desired world' routing view.,IP / Sub-brand,Platform,Salt Basin Highways™,—,—,—,—,SRC-001,—,Canonical,—
Monetary River System™,River metaphor for cash flow and routing within Salt Basin Highways.,IP / Sub-brand,Platform,Salt Basin Highways™,—,—,—,—,SRC-001,River Flow graphic metaphor,Canonical,—
SaltTide™,Consumer credit card intelligence and routing product. Reads financial DNA to route to optimal card and strategy. Zero credit risk on SaltTide balance sheet.,Product,Product,MES Solutions LLC,—,—,"CardWise (deprecated, July 2026)",Must not be confused with SaltBridge or SaltChannels,SRC-001 — Explicit User Decision,Buoyant hourglass / DNA double helix / salt crystals,Canonical,Renamed from CardWise July 2026 due to existing products with that name. Seed round $3.5M
